priority	name	T	hours	decides
1	base_T25	25	46	reference trace at T=25; closes D2(a). BEST source: tb_err 3.89, r2 0.95, EffDim 5.85. The workhorse T
1	base_T60	60	46	reference trace at T=60; closes D2(a). tb_err 4.82, r2 0.99. nys7cfrt regime on current HEAD
1	base_T10	10	46	reference trace at T=10; closes D2(a). weakest warm start of the four; no tb_err/r2 recorded, EffDim 9.37
1	base_T25_seedB	25	30	THE ARM THAT MUST NEVER BE CUT. aug02 measured ~35% seed spread; everything since is n=1. On the SHARED reference cell so one replicate gives a detection threshold to the LR ladder, D30, replay, beta and Z at once. Also the first ever measurement of alpha_median seed spread -- section A4 clip(median,0.9,1.1) is mis-sized if wide
1	d30_frz_lr4	25	24	frozen at optimum LR; D30 replication at 41k steps not 800
1	d30_frz_lr2	25	24	THE DISCRIMINATOR. frz@2e-4 ~ unf@4e-4 => unfreeze and halve-LR are ONE mechanism (D30 is an LR mis-setting). frozen worse at BOTH LRs => architectural, and synthesis.md section 1 is in trouble
1	d30_unf_lr2	25	24	unfrozen half of the LR leg; without it the 2x2 is 3 cells
1	rep_off	25	24	P8 arm (i) at length: is a corrector necessary at all
1	rep_b7b	25	24	the B7b package (uniform intake + hazard-only purge + eligibility filter) at kappa=0. NOT a null -- kappa=0 still draws over the POSITIVE HALF only. archive_buffers on so the residual histogram is recoverable for a post-hoc 1+CV^2
1	ramp_T60	60	8	section A6 open-loop ramp. PASS BAR: servo needs 1 window (500) + 1 doubling (1204) ~ 1700 steps of warning, so lr_opt must turn down while live LR <= 0.38x of fatal. Read lr_opt = alpha_median * live lr_fused, NOT fit_downward_rate (cumulative). Three T rungs give the cliff-vs-T shape, never produced
1	ramp_T25	25	5	section A6 open-loop ramp. PASS BAR: servo needs 1 window (500) + 1 doubling (1204) ~ 1700 steps of warning, so lr_opt must turn down while live LR <= 0.38x of fatal. Read lr_opt = alpha_median * live lr_fused, NOT fit_downward_rate (cumulative). Three T rungs give the cliff-vs-T shape, never produced
1	ramp_T10	10	3	section A6 open-loop ramp. PASS BAR: servo needs 1 window (500) + 1 doubling (1204) ~ 1700 steps of warning, so lr_opt must turn down while live LR <= 0.38x of fatal. Read lr_opt = alpha_median * live lr_fused, NOT fit_downward_rate (cumulative). Three T rungs give the cliff-vs-T shape, never produced
2	base_T100	100	46	reference trace at T=100; closes D2(a). ONLY high-T run with healthy phase1 exit AND endpoint (EffDim 6.04/5.98). Collapse is the predicted outcome; read EffDim before tb_err
2	d30_dose	25	24	weight-matched DOSE control. Adam is invariant to uniform loss rescale, so total weight cancels; what changes is ADDING a gradient direction at weight 0.2. Dose-dependent => gradient-weight confound real. All-or-nothing => architectural
2	hold_T25_lr1	25	24	TWO JOBS. (a) 4x-under rung: aug02 had 14.09 vs 4e-4 5.90 -- does that ordering survive HEAD? (b) THE EXACT-ANSWER CELL, free: LR 4x lower, nothing else changed, so alpha_median MUST rise ~4x. This is the alpha* prop 1/lr null -- the analogue of kappa=0 => ESS 1.000. Materially off 4x => every LR reading in the battery is void
2	rep_kappa1	25	24	kappa ladder at 41k steps -- the 1500-step local ladder resolved nothing and 1+CV^2 ~ 1.7 bounds the gain
2	beta_bq	25	24	bwd quadratic. Local found beta 10 > 60 > 1e6 on BOTH slopes, against B5b -- but that ladder ran entirely in the degrading (frozen, lr-auto) regime and may be void. cut_loss_abs raised because an unwinsorised bwd TB loss is legitimately ~625
2	z_track	25	24	TRACK log Z instead of learning it. decisions.md section 2c ranks this the biggest available swing on joint convergence and it costs one config key. If tracking wins, the fwd branch job changes entirely and much Z machinery becomes dead weight
2	zcal_off	25	24	z_calibration is enabled in mk_dev and its value is unproven. WATCH: D29 assumes |fwd/tb_resid_clipped| < 0.5 at all times; z_cal is what enforces it. If this arm breaches, every delta-plus reading in it is off-origin
2	rep_starve	25	18	induce memorisation naturally-ish: lambda_tau should cross the derived 1/e = 0.368 bar. The no-servo control for the arm below
2	rep_starve_servo	25	18	THE SERVO TEST WITH REAL AUTHORITY. Locally gain 0.05 x ~8 ticks = 1.4x churn against a 27x starve -- unprovable by arithmetic. Here: 35k steps / eval 500 = 70 ticks x max_step 0.03 = log_boost 2.1 = 8.2x churn, inside max_boost 12. The loop CAN recover within the budget, so a null result now means something
2	hold_T25_lr8	25	6	past aug02 cliff; expected to abort. Cheap, and the abort STEP is the datum the ramps are validated against
3	beta_bq_gm	25	24	section L8c free move: average rollouts BEFORE the clip, recovering drive lost to a Jensen gap on high-variance terminals
3	z_track_zcal_off	25	24	the 2x2 corner: if tracking works, z_cal is redundant by construction and this is the cheapest configuration on the route
3	rep_hi	25	24	P7: replay share up, fwd down. Pairs with d30_dose to separate fwd-frac dose from replay-frac dose
3	rep_ctrl_ratio	25	24	RESTORE mk_dev balance + min_fracs (kind: ratio). D8 landed the ratio controller and it has NEVER run long. Every other arm here runs fixed fracs deliberately, so this is the only arm that exercises it
